[dotenv@17.3.1] injecting env (19) from server\.env -- tip: ≡ƒöÉ encrypt with Dotenvx: https://dotenvx.com
[dotenv@17.2.3] injecting env (0) from .env -- tip: ≡ƒöä add secrets lifecycle management: https://dotenvx.com/ops
Sheet: [All  Stakeholders] | H: [campaign_name]
Sheet: [All Stakeholders 2] | H: [campaign_name]
Sheet: [66K Data testing (Nov, Dec) ] | H: [campaign_name]
Sheet: [66K Data testing (Jan, Feb)] | H: [campaign_name]
Sheet: [Students & Architects ] | H: [campaign_name]
Sheet: [Students NCR] | H: [campaign_name]
Sheet: [Brand Lead New] | H: [campaign_name]
Sheet: [Brand Leads] | H: [campaign_name]
Sheet: [Old brand leads] | H: [campaign_name]
Sheet: [Are you a Brand ] | H: [campaign_name]
Sheet: [11 Event Architects & Designers ] | H: [campaign_name]
Sheet: [Database Brands & Architetcs ] | H: [campaign_name]
Sheet: [AceTech Lead] | H: [campaign_name]
Sheet: [Architects & Designer INDIA] | H: [campaign_name]
Sheet: [Architects & Designers INDIA 2 ] | H: [campaign_name]
Sheet: [Catelogue Library NCR - Architects & Designers] | H: [campaign_name]
Sheet: [Immersive hub NCR - Architects & Designers] | H: [campaign_name]
Sheet: [Co-working Space NCR - Architects & Designers ] | H: [campaign_name]
Sheet: [Students NCR 2] | H: [campaign_name]
Sheet: [Brand & Architects - INDIA (Immersive Hub)] | H: [campaign_name]
Sheet: [Catalogue Library - Brands (NCR) ] | H: [campaign_name]
Sheet: [Immersive Hub - Brands (NCR)] | H: [campaign_name]
Sheet: [Immersive hub category wise - Brands NCR ] | H: [campaign_name]
Sheet: [IH - Tiles Brands (Morbi, GJ)] | H: [campaign_name]
Sheet: [Brand Generic INDIA] | H: [campaign_name]
