[dotenv@17.3.1] injecting env (19) from server\.env -- tip: ΓÜÖ∩╕Å  specify custom .env file path with { path: '/custom/path/.env' }
[dotenv@17.2.3] injecting env (0) from .env -- tip: ≡ƒæÑ sync secrets across teammates & machines: https://dotenvx.com/ops
Sheet: [All  Stakeholders] | H Sample: [what_is_KC_15-nov-2025]
Sheet: [All Stakeholders 2] | H Sample: [what_is_KC_15-nov-2025]
Sheet: [66K Data testing (Nov, Dec) ] | H Sample: [66K_Database_Test]
Sheet: [66K Data testing (Jan, Feb)] | H Sample: [66K_Database_Test]
Sheet: [Students & Architects ] | H Sample: [Lead_Database_07-nov-2025]
Sheet: [Students NCR] | H Sample: [Lead_Database_07-nov-2025]
Sheet: [Brand Lead New] | H Sample: [Lead_Database_07-nov-2025]
Sheet: [Brand Leads] | H Sample: [BRAND - Lead Generation]
Sheet: [Old brand leads] | H Sample: []
Sheet: [Are you a Brand ] | H Sample: []
Sheet: [11 Event Architects & Designers ] | H Sample: []
Sheet: [Database Brands & Architetcs ] | H Sample: [Lead_Database_07-nov-2025]
Sheet: [AceTech Lead] | H Sample: [targeting_acetech]
Sheet: [Architects & Designer INDIA] | H Sample: [Lead_Database_07-nov-2025]
Sheet: [Architects & Designers INDIA 2 ] | H Sample: [Lead_Database_07-nov-2025]
Sheet: [Catelogue Library NCR - Architects & Designers] | H Sample: [Lead_Database_07-nov-2025]
Sheet: [Immersive hub NCR - Architects & Designers] | H Sample: [Lead_Database_07-nov-2025]
Sheet: [Co-working Space NCR - Architects & Designers ] | H Sample: [Lead_Database_07-nov-2025]
Sheet: [Students NCR 2] | H Sample: [Lead_Database_07-nov-2025]
Sheet: [Brand & Architects - INDIA (Immersive Hub)] | H Sample: [Lead_Database_07-nov-2025]
Sheet: [Catalogue Library - Brands (NCR) ] | H Sample: [Brands]
Sheet: [Immersive Hub - Brands (NCR)] | H Sample: [Brands]
Sheet: [Immersive hub category wise - Brands NCR ] | H Sample: [Brands]
Sheet: [IH - Tiles Brands (Morbi, GJ)] | H Sample: []
Sheet: [Brand Generic INDIA] | H Sample: [Brand Generic]
